height,latitude,longitude
9.880000000000000000e+03,2.480778568654545640e+65,-4.440491863408918104e+64
9.879000000000000000e+03,2.447653692086276830e+65,-4.413651566543618159e+64
9.878000000000000000e+03,2.403846939303586146e+65,-4.320259718400754280e+64
9.877000000000000000e+03,2.375589244217287841e+65,-4.246982449670145285e+64
9.876000000000000000e+03,2.321781466570531234e+65,-4.173610839333447164e+64
9.875000000000000000e+03,2.329265118404943470e+65,-4.198479917399388172e+64
9.874000000000000000e+03,2.280544675762985497e+65,-4.121607135341991352e+64
9.873000000000000000e+03,2.197749631719772502e+65,-3.968050641928010101e+64
9.872000000000000000e+03,2.140833179804527482e+65,-3.895463948912661160e+64
9.871000000000000000e+03,2.294768812779803130e+65,-4.114033488965413700e+64
9.870000000000000000e+03,2.144748427405425180e+65,-3.901699772952929382e+64
9.869000000000000000e+03,2.261286050883010769e+65,-4.053609709683781947e+64
9.868000000000000000e+03,2.270816466439344976e+65,-4.060023796877241434e+64
9.867000000000000000e+03,2.227373634556721642e+65,-3.994740893695365760e+64
9.866000000000000000e+03,2.174908746368534768e+65,-3.900039353003437722e+64
9.865000000000000000e+03,2.169213331618738608e+65,-3.890359819356837606e+64
9.864000000000000000e+03,2.055809126386064385e+65,-3.720600064501495391e+64
9.863000000000000000e+03,2.009634870863857219e+65,-3.635396357513916193e+64
9.862000000000000000e+03,2.160145307518106039e+65,-3.874179689703164729e+64
9.861000000000000000e+03,2.077809331260458445e+65,-3.731849238627618618e+64
9.860000000000000000e+03,2.120061439335235972e+65,-3.802691431876594870e+64
9.859000000000000000e+03,2.049102357983186606e+65,-3.687571805889433094e+64
9.858000000000000000e+03,1.971665411219340145e+65,-3.562917013467461377e+64
9.857000000000000000e+03,2.071891444373796003e+65,-3.706073644172529251e+64
9.856000000000000000e+03,2.039432027457275970e+65,-3.669022891788120891e+64
9.855000000000000000e+03,2.077556255095740913e+65,-3.715945474758669252e+64
9.854000000000000000e+03,2.080085403436394868e+65,-3.705196138370965082e+64
9.853000000000000000e+03,1.952676537376951421e+65,-3.507737843623795229e+64
9.852000000000000000e+03,1.927011556792938921e+65,-3.467510322906291416e+64
9.851000000000000000e+03,1.933440851006127115e+65,-3.478470705150380884e+64
9.850000000000000000e+03,1.972154095674091007e+65,-3.523754361065590395e+64
9.849000000000000000e+03,1.925189233275864539e+65,-3.460392545987996241e+64
9.848000000000000000e+03,1.856191837220040618e+65,-3.338272088170689522e+64
9.847000000000000000e+03,1.905932989889129878e+65,-3.426864271111119863e+64
9.846000000000000000e+03,1.866434169708975625e+65,-3.365691309593404867e+64
9.845000000000000000e+03,1.862910866189330450e+65,-3.345246932970812032e+64
9.844000000000000000e+03,1.753054120682743962e+65,-3.174354182888644167e+64
